Project_ID,Project_Name,Company_Name,Feedstock_types,Destination,Status,Year_Est,City,County,State,Region,Latitude,Longitude,Capacity_Ton,Closing_Yr,Cap_100K
5,BioWood LLC,Biowood LLC,mill waste,Domestic,Operating,1990,Monticello,Drew,AR,South,33.580852,-91.792515,40000,Open,0
16,Said Company,Said Company,mill waste,Domestic,Operating,1990,Sylvania,Screven,GA,South,32.879694,-81.655767,45000,Open,0
601,Unaka Forest Products,Unaka Forest Products,mill residues,Domestic,Operating,2000,Jonesborough,Washington,TN,South,36.205749,-82.441084,0,Open,0
602,Dejno's Inc.,Dejno's Inc.,"mill residues, wood chips, urban wood",Domestic,Operating,2000,Kenosha,Kenosha,WI,North,42.583369,-87.885386,40000,Open,0
337,Wood Pellets,Wood Pellets,assume mill residues,Domestic,Operating,2003,Summerhill,Cambria,PA,North,40.405061,-78.757136,32000,Open,0
336,Penn Wood Products,Penn Wood Products,mill residues from own mill operations,Domestic,Operating,2004,East Berlin,Adams,PA,North,39.9363,-76.98054,4400,Open,0
133,Turman Hardwood Flooring,Turman Hardwood Flooring,assume mill residues from own operation,Domestic,Operating,2005,Galax,Carroll,VA,South,36.649012,-80.939184,15000,Open,0
281,American Wood Fibers,American Wood Fibers,hardwood mill residues,Domestic,Operating,2005,Circleville,Pickaway,OH,North,39.560743,-82.944148,40000,Open,0
327,Associated Harvest,Associated Harvest,assume mill residues,Domestic,Operating,2005,La Fargeville,Jefferson,NY,North,44.194797,-75.966102,10000,Open,0
1,Nature's Earth Pellet,Nature's Earth Pellet,kiln dried planer shavings of southern yellow pine,Domestic,Operating,2006,Reform,Pickens,AL,South,33.3554762,-88.0201221,90000,Open,0
18,Rockwood Pellets,Rockwood Pellets,mill waste (hardwood sawdust),Domestic,Shut down,2006,The Rock,Upson,GA,South,32.964675,-84.239575,15000,2011,0
